Classification Report:
              precision    recall  f1-score     support
pop            0.538462  0.210000  0.302158  100.000000
classical      0.166667  0.020202  0.036036   99.000000
jazz           0.416667  0.050505  0.090090   99.000000
hiphop         0.315217  0.290000  0.302083  100.000000
reggae         0.339552  0.910000  0.494565  100.000000
disco          0.250000  0.010309  0.019802   97.000000
metal          0.313993  0.920000  0.468193  100.000000
country        0.411765  0.071429  0.121739   98.000000
blues          0.388430  0.959184  0.552941   98.000000
rock           0.272727  0.030303  0.054545   99.000000
accuracy       0.348485  0.348485  0.348485    0.348485
macro avg      0.341348  0.347193  0.244215  990.000000
weighted avg   0.341557  0.348485  0.245077  990.000000
