
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -3.70365e+00 | std:  4.88835e+01 | min: -1.15572e+02 | max:  1.17861e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.01018e+00 | std:  4.74966e+01 | min: -1.34144e+02 | max:  1.49810e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  2.38235e-01 | std:  3.33240e+02 | min: -8.69000e+02 | max:  7.04000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  4.30938e+01 | std:  4.54796e+02 | min: -8.00000e+02 | max:  5.74000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  2.42857e+00 | std:  4.60348e+02 | min: -2.01200e+03 | max:  1.91600e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.12256e+01 | std:  5.15039e+02 | min: -1.68700e+03 | max:  1.55800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -2.17990e+00 | std:  3.89383e+01 | min: -2.49500e+02 | max:  1.88750e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -2.09218e+01 | std:  1.36310e+02 | min: -4.73500e+02 | max:  5.51500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.60165e+00 | std:  2.04177e+01 | min: -1.16750e+02 | max:  1.01562e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.60379e+01 | std:  7.33698e+01 | min: -2.75500e+02 | max:  2.73500e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.81086e+00 | std:  8.23657e+01 | min: -4.04500e+02 | max:  8.39000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -1.67654e+01 | std:  1.04781e+02 | min: -3.42500e+02 | max:  4.36000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -5.97385e-03 | std:  6.39953e+01 | min: -3.17750e+02 | max:  3.29000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.12256e+01 | std:  5.15039e+02 | min: -1.68700e+03 | max:  1.55800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  4.09679e-02 | std:  1.45752e+01 | min: -6.52500e+01 | max:  6.55625e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -2.09218e+01 | std:  1.36310e+02 | min: -4.73500e+02 | max:  5.51500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  3.62542e-02 | std:  7.75823e+00 | min: -3.85938e+01 | max:  3.64375e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.60379e+01 | std:  7.33698e+01 | min: -2.75500e+02 | max:  2.73500e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  2.66970e-02 | std:  1.10858e+01 | min: -5.97812e+01 | max:  5.46562e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -1.67654e+01 | std:  1.04781e+02 | min: -3.42500e+02 | max:  4.36000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -3.59361e+00 | std:  3.26156e+01 | min: -9.20938e+01 | max:  1.01924e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  5.42926e+00 | std:  3.04987e+01 | min: -7.66726e+01 | max:  7.42720e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  5.99567e+01 | std:  2.78289e+02 | min: -6.52000e+02 | max:  4.33000e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -2.85509e+02 | std:  4.34802e+02 | min: -8.67500e+02 | max:  2.84250e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -1.98905e-01 | std:  1.80648e+01 | min: -1.36500e+02 | max:  9.83750e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -1.09821e+00 | std:  5.97634e+01 | min: -1.96625e+02 | max:  1.96875e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -6.87960e-02 | std:  1.84984e+01 | min: -1.08688e+02 | max:  1.24688e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -7.11597e-02 | std:  2.63277e+01 | min: -8.78750e+01 | max:  9.28125e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  8.49481e-03 | std:  2.13605e+00 | min: -1.61875e+01 | max:  1.69062e+01
xlstm.layers.0.mlstm.Wi.bias             | mean:  4.78274e-02 | std:  6.30866e+00 | min: -2.35938e+01 | max:  2.84062e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.92848e+00 | std:  2.42451e+01 | min: -1.38875e+02 | max:  1.52125e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -1.68291e+01 | std:  7.91483e+01 | min: -2.75750e+02 | max:  3.03500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -6.08866e-01 | std:  3.20986e+01 | min: -1.66125e+02 | max:  3.60750e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -8.60657e+00 | std:  4.12562e+01 | min: -1.50500e+02 | max:  1.36250e+02
classifier.weight                        | mean:  1.11208e-03 | std:  5.43803e+02 | min: -2.91400e+03 | max:  2.40800e+03
classifier.bias                          | mean:  1.14286e-01 | std:  4.02672e+03 | min: -9.78400e+03 | max:  6.82400e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -3.72376e+01 | std:  8.51084e+01 | min: -3.57154e+02 | max:  2.39265e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  3.44389e+01 | std:  8.01057e+01 | min: -1.60760e+02 | max:  2.85676e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  3.16683e+02 | std:  7.50520e+02 | min: -1.35600e+03 | max:  1.74900e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -9.53500e+02 | std:  5.23702e+02 | min: -1.65500e+03 | max: -3.02500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -1.12730e+01 | std:  4.78540e+02 | min: -2.42800e+03 | max:  2.36400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.53207e+01 | std:  4.86888e+02 | min: -1.28900e+03 | max:  1.18700e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -9.58504e+00 | std:  4.96130e+01 | min: -3.59250e+02 | max:  2.43750e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -8.01782e+01 | std:  1.50161e+02 | min: -6.78000e+02 | max:  2.90250e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -5.85523e+00 | std:  2.76002e+01 | min: -2.57000e+02 | max:  1.57125e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.89929e+01 | std:  8.55137e+01 | min: -3.97000e+02 | max:  1.72125e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -2.13048e+00 | std:  9.71140e+01 | min: -4.96500e+02 | max:  4.90750e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.51280e+01 | std:  1.17723e+02 | min: -5.31500e+02 | max:  2.15125e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.52599e-01 | std:  7.22072e+01 | min: -4.45500e+02 | max:  4.80250e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.53207e+01 | std:  4.86888e+02 | min: -1.28900e+03 | max:  1.18700e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  3.92829e-01 | std:  1.84934e+01 | min: -1.09875e+02 | max:  1.28250e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -8.01782e+01 | std:  1.50161e+02 | min: -6.78000e+02 | max:  2.90250e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  2.49155e-01 | std:  1.06225e+01 | min: -7.63125e+01 | max:  9.30625e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.89929e+01 | std:  8.55137e+01 | min: -3.97000e+02 | max:  1.72125e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  3.41378e-01 | std:  1.49336e+01 | min: -1.12688e+02 | max:  1.36125e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.51280e+01 | std:  1.17723e+02 | min: -5.31500e+02 | max:  2.15125e+02
