
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.10568e-01 | std:  1.29207e+00 | min: -3.67767e+00 | max:  3.21881e+00
xlstm.layers.0.slstm.layer_norm.bias     | mean: -6.96464e-02 | std:  1.70292e+00 | min: -5.54069e+00 | max:  4.01360e+00
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -4.64472e+00 | std:  1.13690e+02 | min: -2.28750e+02 | max:  1.48625e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  5.99554e+00 | std:  5.59936e+01 | min: -7.36875e+01 | max:  7.71250e+01
xlstm.layers.0.slstm.Wz.block.weight     | mean:  4.17272e+00 | std:  1.80279e+02 | min: -9.68500e+02 | max:  9.35000e+02
xlstm.layers.0.slstm.Wz.block.bias       | mean:  9.91278e+00 | std:  1.94041e+02 | min: -5.96500e+02 | max:  5.05500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean:  1.14737e+00 | std:  7.34697e+00 | min: -2.55000e+01 | max:  2.48438e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.00075e+01 | std:  6.29844e+01 | min: -1.93625e+02 | max:  1.79875e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  3.03674e-01 | std:  1.55882e+00 | min: -5.91016e+00 | max:  7.19531e+00
xlstm.layers.0.slstm.Wf.block.bias       | mean: -2.65116e+00 | std:  1.33775e+01 | min: -5.56250e+01 | max:  4.27188e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean:  4.20520e-02 | std:  1.76837e+01 | min: -1.05312e+02 | max:  1.05000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.02628e+00 | std:  2.17679e+01 | min: -1.01688e+02 | max:  5.50625e+01
xlstm.layers.0.slstm.Rz.block.weight     | mean:  4.64088e-02 | std:  9.63299e+00 | min: -6.02500e+01 | max:  6.00000e+01
xlstm.layers.0.slstm.Rz.block.bias       | mean:  9.91278e+00 | std:  1.94041e+02 | min: -5.96500e+02 | max:  5.05500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -1.17960e-03 | std:  2.54109e+00 | min: -2.15938e+01 | max:  1.94219e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.00075e+01 | std:  6.29844e+01 | min: -1.93625e+02 | max:  1.79875e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  3.37297e-04 | std:  5.40710e-01 | min: -4.86328e+00 | max:  4.84766e+00
xlstm.layers.0.slstm.Rf.block.bias       | mean: -2.65116e+00 | std:  1.33775e+01 | min: -5.56250e+01 | max:  4.27188e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean: -2.96807e-03 | std:  8.63215e-01 | min: -6.97656e+00 | max:  6.90625e+00
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.02628e+00 | std:  2.17679e+01 | min: -1.01688e+02 | max:  5.50625e+01
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.48508e+00 | std:  1.46285e+01 | min: -4.45264e+01 | max:  4.11918e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  3.18029e+00 | std:  1.45911e+01 | min: -3.92284e+01 | max:  4.64322e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -5.17262e+00 | std:  9.03649e+01 | min: -1.57375e+02 | max:  1.72000e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -4.31719e+01 | std:  5.08422e+01 | min: -9.62500e+01 | max:  5.86562e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  5.08309e-02 | std:  7.92847e+00 | min: -5.13750e+01 | max:  7.28125e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  3.86250e-01 | std:  2.40229e+01 | min: -8.02500e+01 | max:  7.33125e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.63847e-01 | std:  7.65253e+00 | min: -3.70938e+01 | max:  4.69375e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -7.67275e-01 | std:  9.16497e+00 | min: -3.29688e+01 | max:  2.93281e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  2.97713e-03 | std:  9.87854e-01 | min: -1.02656e+01 | max:  6.19531e+00
xlstm.layers.0.mlstm.Wi.bias             | mean:  7.80748e-03 | std:  2.39206e+00 | min: -1.06094e+01 | max:  7.97656e+00
xlstm.layers.0.mlstm.Wf.weight           | mean: -4.02592e-01 | std:  4.30954e+00 | min: -2.87031e+01 | max:  3.01562e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -2.73777e+00 | std:  1.33443e+01 | min: -5.82500e+01 | max:  4.46250e+01
xlstm.layers.0.mlstm.Wo.weight           | mean: -3.30288e-02 | std:  3.15457e+00 | min: -2.31250e+01 | max:  1.55391e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -8.41462e-01 | std:  4.02919e+00 | min: -1.87344e+01 | max:  1.07109e+01
xlstm.layers.1.slstm.layer_norm.weight   | mean: -2.33852e-01 | std:  1.45146e+01 | min: -5.51453e+01 | max:  4.88595e+01
xlstm.layers.1.slstm.layer_norm.bias     | mean:  1.45790e-02 | std:  1.22744e+01 | min: -3.68672e+01 | max:  3.22922e+01
xlstm.layers.1.slstm.causal_conv.conv.weight | mean: -2.85580e+01 | std:  9.53218e+01 | min: -1.82000e+02 | max:  2.05875e+02
xlstm.layers.1.slstm.causal_conv.conv.bias | mean:  1.36074e+01 | std:  7.59436e+01 | min: -1.33875e+02 | max:  1.16812e+02
xlstm.layers.1.slstm.Wz.block.weight     | mean: -4.76833e-02 | std:  3.75914e+01 | min: -1.94250e+02 | max:  1.92000e+02
xlstm.layers.1.slstm.Wz.block.bias       | mean:  5.50302e+00 | std:  4.26016e+02 | min: -1.41300e+03 | max:  1.42200e+03
xlstm.layers.1.slstm.Wi.block.weight     | mean:  3.61753e-01 | std:  6.11047e+00 | min: -6.15312e+01 | max:  5.36562e+01
xlstm.layers.1.slstm.Wi.block.bias       | mean: -4.79334e+00 | std:  2.40818e+01 | min: -8.25625e+01 | max:  5.46250e+01
