
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.19606e+00 | std:  4.23445e+01 | min: -1.05924e+02 | max:  1.23838e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  4.34056e+00 | std:  3.77230e+01 | min: -1.02900e+02 | max:  1.24300e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.42556e+01 | std:  1.87344e+02 | min: -3.21000e+02 | max:  2.81250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  8.10759e+01 | std:  1.32270e+02 | min: -8.94375e+01 | max:  2.54000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.55285e+01 | std:  4.22264e+02 | min: -2.17600e+03 | max:  2.82400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  8.02730e+00 | std:  3.57081e+02 | min: -1.01050e+03 | max:  1.26800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  3.72537e+00 | std:  2.35773e+01 | min: -1.07938e+02 | max:  1.18312e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -2.82866e+01 | std:  1.20113e+02 | min: -3.74250e+02 | max:  3.50250e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  2.32586e+00 | std:  1.23222e+01 | min: -5.65312e+01 | max:  6.12812e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.80812e+01 | std:  6.49848e+01 | min: -2.16250e+02 | max:  1.86250e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.36878e+00 | std:  7.36582e+01 | min: -5.33500e+02 | max:  4.78500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -2.26100e+01 | std:  9.38581e+01 | min: -2.98500e+02 | max:  3.25500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  4.56696e-01 | std:  5.46481e+01 | min: -2.64250e+02 | max:  2.63750e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  8.02730e+00 | std:  3.57081e+02 | min: -1.01050e+03 | max:  1.26800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -2.17997e-01 | std:  1.22502e+01 | min: -6.16562e+01 | max:  6.15312e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -2.82866e+01 | std:  1.20113e+02 | min: -3.74250e+02 | max:  3.50250e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.16203e-01 | std:  6.38828e+00 | min: -3.81250e+01 | max:  3.35000e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.80812e+01 | std:  6.49848e+01 | min: -2.16250e+02 | max:  1.86250e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -1.89257e-01 | std:  9.37434e+00 | min: -5.28125e+01 | max:  6.68125e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -2.26100e+01 | std:  9.38581e+01 | min: -2.98500e+02 | max:  3.25500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  1.17420e+00 | std:  8.29559e+00 | min: -2.43568e+01 | max:  2.16888e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -2.27894e+00 | std:  7.64826e+00 | min: -2.70998e+01 | max:  1.47624e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -5.34943e+01 | std:  7.22164e+01 | min: -2.02125e+02 | max:  5.22188e+01
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  1.67493e+02 | std:  1.59118e+02 | min:  2.67031e+01 | max:  4.12250e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  4.77010e-01 | std:  7.38740e+00 | min: -3.20312e+01 | max:  4.58125e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -2.73666e+00 | std:  4.02873e+01 | min: -1.95750e+02 | max:  1.23750e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.59559e-01 | std:  7.10206e+00 | min: -5.91250e+01 | max:  4.58438e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.28015e-01 | std:  5.68554e+00 | min: -2.92969e+01 | max:  2.46094e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  2.85856e-02 | std:  4.04532e-01 | min: -2.75586e+00 | max:  2.20703e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -1.58111e-01 | std:  2.19437e+00 | min: -1.01797e+01 | max:  1.09766e+01
xlstm.layers.0.mlstm.Wf.weight           | mean:  3.50399e+00 | std:  1.32384e+01 | min: -4.32188e+01 | max:  5.21250e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -1.96443e+01 | std:  7.22766e+01 | min: -2.23625e+02 | max:  1.98125e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -3.48991e-01 | std:  2.68257e+01 | min: -2.46125e+02 | max:  1.47625e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -9.99170e+00 | std:  3.53705e+01 | min: -1.12188e+02 | max:  1.10625e+02
classifier.weight                        | mean:  2.15296e-03 | std:  5.15793e+02 | min: -2.12200e+03 | max:  2.10400e+03
classifier.bias                          | mean:  8.92857e-02 | std:  3.20899e+03 | min: -9.36800e+03 | max:  6.58800e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  4.73673e+00 | std:  3.89319e+01 | min: -1.15371e+02 | max:  9.85187e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.72528e+01 | std:  3.49280e+01 | min: -9.67002e+01 | max:  8.11597e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.91170e+01 | std:  2.66942e+02 | min: -4.90500e+02 | max:  5.08000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  3.95634e+02 | std:  2.45213e+02 | min:  8.91875e+01 | max:  6.75000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  9.24176e+00 | std:  3.81032e+02 | min: -2.22400e+03 | max:  1.92500e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  8.82346e+00 | std:  4.16088e+02 | min: -1.17100e+03 | max:  1.34000e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  9.86585e+00 | std:  2.54107e+01 | min: -9.28125e+01 | max:  1.48250e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -7.22444e+01 | std:  1.29304e+02 | min: -5.12000e+02 | max:  3.81250e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  5.88834e+00 | std:  1.43545e+01 | min: -5.37500e+01 | max:  8.96875e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.34504e+01 | std:  7.33530e+01 | min: -3.55000e+02 | max:  1.83625e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -2.55462e+00 | std:  8.14071e+01 | min: -5.03000e+02 | max:  5.05500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -5.85012e+01 | std:  1.03297e+02 | min: -4.75500e+02 | max:  2.81500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -5.80469e-01 | std:  5.81702e+01 | min: -3.53000e+02 | max:  2.92750e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  8.82346e+00 | std:  4.16088e+02 | min: -1.17100e+03 | max:  1.34000e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -2.69983e-01 | std:  1.56808e+01 | min: -1.24625e+02 | max:  8.63125e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -7.22444e+01 | std:  1.29304e+02 | min: -5.12000e+02 | max:  3.81250e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.51620e-01 | std:  9.10104e+00 | min: -1.08062e+02 | max:  6.78750e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.34504e+01 | std:  7.33530e+01 | min: -3.55000e+02 | max:  1.83625e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -1.84162e-01 | std:  1.21385e+01 | min: -9.61250e+01 | max:  7.36250e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -5.85012e+01 | std:  1.03297e+02 | min: -4.75500e+02 | max:  2.81500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  1.66557e+00 | std:  7.49356e+00 | min: -1.50293e+01 | max:  3.00602e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -5.22304e+00 | std:  7.62708e+00 | min: -2.79290e+01 | max:  1.73582e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -3.35450e+01 | std:  1.00459e+02 | min: -2.65000e+02 | max:  1.64625e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  3.74125e+02 | std:  1.64208e+02 | min:  8.41250e+01 | max:  5.75000e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.96524e-02 | std:  6.48508e+00 | min: -3.51875e+01 | max:  3.53438e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -1.04992e-01 | std:  3.37039e+01 | min: -1.58000e+02 | max:  1.63875e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  7.26955e-02 | std:  7.29674e+00 | min: -7.14375e+01 | max:  7.37500e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -3.42811e-01 | std:  7.86687e+00 | min: -4.81250e+01 | max:  4.76875e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  9.23195e-02 | std:  4.70421e-01 | min: -2.52344e+00 | max:  4.69922e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -4.93683e-01 | std:  2.44259e+00 | min: -2.17812e+01 | max:  9.01562e+00
xlstm.layers.0.mlstm.Wf.weight           | mean:  9.29782e+00 | std:  1.59855e+01 | min: -4.31875e+01 | max:  8.59375e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -4.97265e+01 | std:  8.33874e+01 | min: -4.15000e+02 | max:  1.94500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -8.48535e-01 | std:  3.33539e+01 | min: -2.15625e+02 | max:  3.16000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.43285e+01 | std:  4.16184e+01 | min: -2.14375e+02 | max:  9.63125e+01
classifier.weight                        | mean: -6.01142e-03 | std:  5.41478e+02 | min: -2.91200e+03 | max:  2.53000e+03
classifier.bias                          | mean:  8.75000e-02 | std:  3.96505e+03 | min: -1.26320e+04 | max:  7.18400e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  9.54517e+00 | std:  4.35073e+01 | min: -1.09250e+02 | max:  1.16996e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  3.05197e+01 | std:  4.12541e+01 | min: -6.60944e+01 | max:  1.52294e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  3.43707e+01 | std:  3.81375e+02 | min: -6.62000e+02 | max:  9.24500e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  7.20607e+02 | std:  6.51592e+02 | min: -2.24000e+02 | max:  1.61500e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -5.78188e+00 | std:  3.77511e+02 | min: -2.28600e+03 | max:  2.00400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.18966e+01 | std:  5.53651e+02 | min: -1.53800e+03 | max:  2.00100e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  1.21092e+01 | std:  2.69527e+01 | min: -1.19812e+02 | max:  1.51125e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -8.04429e+01 | std:  1.30535e+02 | min: -7.22000e+02 | max:  3.18000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  8.40201e+00 | std:  1.68965e+01 | min: -1.00562e+02 | max:  1.00062e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.55160e+01 | std:  8.16517e+01 | min: -3.76500e+02 | max:  1.70500e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.17076e+00 | std:  8.81507e+01 | min: -4.85500e+02 | max:  3.99250e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.58377e+01 | std:  1.06442e+02 | min: -5.83000e+02 | max:  2.22250e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.78706e-01 | std:  6.87350e+01 | min: -4.10250e+02 | max:  4.39000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.18966e+01 | std:  5.53651e+02 | min: -1.53800e+03 | max:  2.00100e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -1.15508e-02 | std:  1.96517e+01 | min: -1.21688e+02 | max:  1.45875e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -8.04429e+01 | std:  1.30535e+02 | min: -7.22000e+02 | max:  3.18000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -4.12936e-03 | std:  1.27569e+01 | min: -9.51250e+01 | max:  1.06125e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.55160e+01 | std:  8.16517e+01 | min: -3.76500e+02 | max:  1.70500e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -6.88931e-03 | std:  1.61279e+01 | min: -1.04562e+02 | max:  1.10875e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.58377e+01 | std:  1.06442e+02 | min: -5.83000e+02 | max:  2.22250e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  1.99809e+00 | std:  8.40123e+00 | min: -1.79216e+01 | max:  3.27099e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -8.37352e+00 | std:  8.04551e+00 | min: -3.03912e+01 | max:  1.21644e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -3.35904e+01 | std:  9.95640e+01 | min: -1.92125e+02 | max:  1.56500e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  7.44179e+02 | std:  4.65966e+02 | min:  1.79750e+02 | max:  1.40000e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -1.96961e-01 | std:  6.27418e+00 | min: -2.55312e+01 | max:  3.60625e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  9.88327e-01 | std:  3.06307e+01 | min: -1.48250e+02 | max:  1.09750e+02
