
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -4.35206e-01 | std:  5.24473e+01 | min: -1.40034e+02 | max:  1.43485e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -8.04669e-01 | std:  3.57580e+01 | min: -1.54564e+02 | max:  9.02897e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  3.13002e+01 | std:  2.70377e+02 | min: -3.66250e+02 | max:  5.83500e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -1.27129e+02 | std:  3.37336e+02 | min: -6.62500e+02 | max:  3.16500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  2.14709e+00 | std:  4.00059e+02 | min: -2.53600e+03 | max:  1.85900e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -1.34001e+01 | std:  4.46201e+02 | min: -1.91000e+03 | max:  1.18600e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -3.27361e-01 | std:  2.87468e+01 | min: -1.77125e+02 | max:  1.89875e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean:  4.05933e+00 | std:  1.24396e+02 | min: -4.28750e+02 | max:  5.45500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.68385e-01 | std:  1.43781e+01 | min: -8.59375e+01 | max:  8.62500e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean:  1.66662e+00 | std:  6.41857e+01 | min: -2.18500e+02 | max:  2.99750e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.10084e+00 | std:  7.79888e+01 | min: -4.36750e+02 | max:  3.96750e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean:  3.11905e+00 | std:  9.43391e+01 | min: -3.50750e+02 | max:  2.73500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  1.60795e-01 | std:  5.03685e+01 | min: -2.69500e+02 | max:  2.74250e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -1.34001e+01 | std:  4.46201e+02 | min: -1.91000e+03 | max:  1.18600e+03
