
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  4.23813e+00 | std:  1.16839e+01 | min: -1.62411e+01 | max:  3.24907e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.32891e+01 | std:  1.70917e+01 | min: -2.42246e+01 | max:  5.29913e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  4.90625e+01 | std:  1.64878e+02 | min: -1.12625e+02 | max:  3.41250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  7.67000e+02 | std:  7.31831e+02 | min:  1.19500e+02 | max:  1.56100e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  9.96487e+00 | std:  3.12377e+02 | min: -1.51200e+03 | max:  1.31700e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -3.59351e+01 | std:  3.44665e+02 | min: -1.05100e+03 | max:  7.78500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean:  9.18204e+00 | std:  2.09728e+01 | min: -4.55312e+01 | max:  7.57500e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -5.57196e+01 | std:  1.28555e+02 | min: -4.04000e+02 | max:  2.21125e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  7.59217e+00 | std:  1.51217e+01 | min: -2.21875e+01 | max:  8.43750e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.63243e+01 | std:  9.13452e+01 | min: -4.04000e+02 | max:  1.03312e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -4.41199e+00 | std:  7.02458e+01 | min: -5.41000e+02 | max:  4.31500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.49713e+01 | std:  1.01261e+02 | min: -3.35000e+02 | max:  1.58625e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.52188e-01 | std:  5.56474e+01 | min: -3.62000e+02 | max:  3.03500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -3.59351e+01 | std:  3.44665e+02 | min: -1.05100e+03 | max:  7.78500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean:  7.42752e-01 | std:  1.65748e+01 | min: -1.21188e+02 | max:  1.04188e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -5.57196e+01 | std:  1.28555e+02 | min: -4.04000e+02 | max:  2.21125e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  4.83321e-01 | std:  1.07555e+01 | min: -8.89375e+01 | max:  7.32500e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.63243e+01 | std:  9.13452e+01 | min: -4.04000e+02 | max:  1.03312e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  5.24789e-01 | std:  1.34642e+01 | min: -1.34250e+02 | max:  1.20875e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.49713e+01 | std:  1.01261e+02 | min: -3.35000e+02 | max:  1.58625e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.39936e+01 | std:  3.18114e+01 | min: -1.06102e+02 | max:  4.77399e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  1.28741e+01 | std:  3.96112e+01 | min: -5.74123e+01 | max:  1.37803e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  1.46653e+02 | std:  5.86144e+02 | min: -9.39500e+02 | max:  1.10400e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.07962e+03 | std:  1.55072e+03 | min: -2.78600e+03 | max:  2.43625e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.60050e+00 | std:  2.43646e+01 | min: -8.98125e+01 | max:  1.58000e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  4.80176e+00 | std:  6.07828e+01 | min: -1.47375e+02 | max:  2.31000e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -2.58643e-01 | std:  3.25290e+01 | min: -2.91750e+02 | max:  2.99000e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -3.10588e+00 | std:  3.74720e+01 | min: -1.63875e+02 | max:  8.76250e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.33445e+00 | std:  5.34361e+00 | min: -5.07812e+01 | max:  2.80938e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -3.83515e+00 | std:  1.31865e+01 | min: -7.03125e+01 | max:  2.75469e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.76387e+01 | std:  3.86741e+01 | min: -2.74000e+02 | max:  7.26250e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.14139e+01 | std:  9.99192e+01 | min: -4.55750e+02 | max:  1.25188e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -1.85801e+00 | std:  3.18966e+01 | min: -3.15250e+02 | max:  1.90125e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.54655e+01 | std:  5.12505e+01 | min: -2.43625e+02 | max:  8.06875e+01
classifier.weight                        | mean:  1.48773e-05 | std:  4.71509e+02 | min: -3.33800e+03 | max:  2.51800e+03
classifier.bias                          | mean:  3.75000e-02 | std:  2.53096e+03 | min: -7.13200e+03 | max:  4.28800e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  3.36139e+00 | std:  1.37508e+01 | min: -2.78553e+01 | max:  4.04682e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.21025e+01 | std:  8.16472e+00 | min: -2.53327e+00 | max:  3.40041e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  1.12956e+01 | std:  1.44821e+02 | min: -1.82625e+02 | max:  2.85250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  7.87000e+02 | std:  1.40489e+02 | min:  6.58500e+02 | max:  9.37000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.16972e+01 | std:  5.04810e+02 | min: -2.88000e+03 | max:  3.62600e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -5.70043e+01 | std:  5.47230e+02 | min: -2.66200e+03 | max:  1.99200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  9.31298e+00 | std:  2.69656e+01 | min: -4.92500e+01 | max:  1.19812e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.91351e+01 | std:  1.36473e+02 | min: -5.38500e+02 | max:  1.81875e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.16107e+01 | std:  2.71111e+01 | min: -8.10000e+01 | max:  1.14250e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.94640e+01 | std:  1.34655e+02 | min: -5.13500e+02 | max:  3.27000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.00441e+01 | std:  9.97775e+01 | min: -4.29000e+02 | max:  3.64000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.84755e+01 | std:  1.24953e+02 | min: -4.52500e+02 | max:  2.18625e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.02777e+00 | std:  1.81409e+02 | min: -1.29300e+03 | max:  1.66500e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -5.70043e+01 | std:  5.47230e+02 | min: -2.66200e+03 | max:  1.99200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  1.10869e+00 | std:  3.02699e+01 | min: -1.50125e+02 | max:  1.63375e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -4.91351e+01 | std:  1.36473e+02 | min: -5.38500e+02 | max:  1.81875e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  7.43483e-01 | std:  3.40950e+01 | min: -2.61000e+02 | max:  2.93750e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.94640e+01 | std:  1.34655e+02 | min: -5.13500e+02 | max:  3.27000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  6.52296e-01 | std:  3.07638e+01 | min: -1.41500e+02 | max:  1.68875e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.84755e+01 | std:  1.24953e+02 | min: -4.52500e+02 | max:  2.18625e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -2.31544e+01 | std:  6.26712e+01 | min: -1.77679e+02 | max:  1.05752e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  2.74489e+01 | std:  6.18854e+01 | min: -9.86077e+01 | max:  1.59332e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  2.41294e+02 | std:  6.53509e+02 | min: -7.77000e+02 | max:  1.45500e+03
