Classification Report:
              precision    recall  f1-score     support
pop            0.655914  0.610000  0.632124  100.000000
classical      0.588235  0.303030  0.400000   99.000000
jazz           0.655462  0.787879  0.715596   99.000000
hiphop         0.695652  0.640000  0.666667  100.000000
reggae         0.603896  0.930000  0.732283  100.000000
disco          0.619048  0.536082  0.574586   97.000000
metal          0.754717  0.800000  0.776699  100.000000
country        0.622222  0.571429  0.595745   98.000000
blues          0.943820  0.857143  0.898396   98.000000
rock           0.437500  0.494949  0.464455   99.000000
accuracy       0.653535  0.653535  0.653535    0.653535
macro avg      0.657647  0.653051  0.645655  990.000000
weighted avg   0.657552  0.653535  0.645821  990.000000
