
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -3.37321e+00 | std:  2.86956e+01 | min: -1.05234e+02 | max:  6.15710e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  2.32806e+00 | std:  3.37198e+01 | min: -5.75016e+01 | max:  8.97288e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  4.79167e+00 | std:  2.71435e+02 | min: -2.52250e+02 | max:  4.47000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  1.09000e+02 | std:  7.64668e+02 | min: -7.73500e+02 | max:  5.75000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -2.96735e+00 | std:  3.49035e+02 | min: -1.51500e+03 | max:  1.52900e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -4.40806e+01 | std:  3.24200e+02 | min: -1.08600e+03 | max:  7.16500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean:  2.76827e+00 | std:  1.89225e+01 | min: -6.39688e+01 | max:  7.46250e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.53905e+01 | std:  1.75429e+02 | min: -5.19500e+02 | max:  4.48750e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  2.00788e+00 | std:  1.11321e+01 | min: -4.22812e+01 | max:  5.96562e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.35767e+01 | std:  1.07182e+02 | min: -3.53000e+02 | max:  2.49250e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -5.26141e-01 | std:  7.90816e+01 | min: -2.87500e+02 | max:  3.82500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -2.88451e+01 | std:  1.32804e+02 | min: -4.32250e+02 | max:  3.01500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -9.91259e-01 | std:  6.43386e+01 | min: -2.84250e+02 | max:  3.30750e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -4.40806e+01 | std:  3.24200e+02 | min: -1.08600e+03 | max:  7.16500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean:  4.29619e-01 | std:  1.85898e+01 | min: -1.00500e+02 | max:  1.28125e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -4.53905e+01 | std:  1.75429e+02 | min: -5.19500e+02 | max:  4.48750e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  3.12685e-01 | std:  1.11533e+01 | min: -6.30938e+01 | max:  9.71250e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -3.35767e+01 | std:  1.07182e+02 | min: -3.53000e+02 | max:  2.49250e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.22460e-01 | std:  1.41196e+01 | min: -7.91250e+01 | max:  1.18250e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -2.88451e+01 | std:  1.32804e+02 | min: -4.32250e+02 | max:  3.01500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -2.57385e+01 | std:  5.96525e+01 | min: -2.22014e+02 | max:  7.65491e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  1.14059e+01 | std:  5.60670e+01 | min: -1.30399e+02 | max:  1.30751e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -3.34722e+00 | std:  6.12932e+02 | min: -1.11500e+03 | max:  1.13200e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -3.31224e+02 | std:  3.10964e+02 | min: -6.34000e+02 | max: -1.26719e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -8.33248e-01 | std:  1.89759e+01 | min: -1.51375e+02 | max:  1.48625e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -1.44534e+01 | std:  7.05809e+01 | min: -2.14500e+02 | max:  1.82625e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -6.65486e-01 | std:  2.02989e+01 | min: -1.44375e+02 | max:  1.61125e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -2.15962e+00 | std:  2.18507e+01 | min: -8.27500e+01 | max:  6.23125e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -2.98112e-01 | std:  3.23140e+00 | min: -5.03750e+01 | max:  1.42188e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -4.21525e+00 | std:  1.03774e+01 | min: -5.44062e+01 | max:  1.15078e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -3.26643e+00 | std:  2.65321e+01 | min: -2.61250e+02 | max:  1.18188e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -3.57841e+01 | std:  1.20402e+02 | min: -3.71000e+02 | max:  2.95000e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -6.77385e-02 | std:  3.27821e+01 | min: -1.54625e+02 | max:  2.06125e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -1.49231e+01 | std:  5.58433e+01 | min: -1.93000e+02 | max:  1.28250e+02
classifier.weight                        | mean:  2.78753e-03 | std:  5.09413e+02 | min: -2.10400e+03 | max:  1.82000e+03
classifier.bias                          | mean: -2.04167e-01 | std:  2.01931e+03 | min: -4.10400e+03 | max:  5.13200e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  6.15478e-02 | std:  2.64857e+01 | min: -5.65247e+01 | max:  5.10508e+01
