
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  3.12802e-01 | std:  2.49690e+01 | min: -5.55999e+01 | max:  9.85390e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.10031e+01 | std:  2.74356e+01 | min: -8.66978e+01 | max:  5.38607e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  4.81563e+00 | std:  1.75082e+02 | min: -2.75750e+02 | max:  4.16250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -1.85631e+02 | std:  1.69663e+02 | min: -3.65500e+02 | max:  6.35312e+01
xlstm.layers.0.slstm.Wz.block.weight     | mean: -4.45622e-01 | std:  1.65520e+02 | min: -7.57500e+02 | max:  8.85500e+02
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.00005e+01 | std:  1.88628e+02 | min: -5.62000e+02 | max:  6.56000e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.99097e+00 | std:  1.80271e+01 | min: -1.24312e+02 | max:  8.53125e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.05288e+01 | std:  4.91748e+01 | min: -1.24500e+02 | max:  2.01375e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.23139e+00 | std:  9.22545e+00 | min: -6.14375e+01 | max:  5.08125e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -6.53805e+00 | std:  2.54258e+01 | min: -6.87500e+01 | max:  1.03938e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.36030e+00 | std:  2.88835e+01 | min: -1.54250e+02 | max:  1.34375e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -7.82742e+00 | std:  3.81736e+01 | min: -1.05750e+02 | max:  1.37000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.18282e-01 | std:  2.12319e+01 | min: -1.36000e+02 | max:  1.24500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.00005e+01 | std:  1.88628e+02 | min: -5.62000e+02 | max:  6.56000e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -7.00812e-02 | std:  4.70355e+00 | min: -2.91562e+01 | max:  2.41094e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.05288e+01 | std:  4.91748e+01 | min: -1.24500e+02 | max:  2.01375e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -2.92755e-02 | std:  2.42960e+00 | min: -1.46094e+01 | max:  1.63281e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -6.53805e+00 | std:  2.54258e+01 | min: -6.87500e+01 | max:  1.03938e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -6.17180e-02 | std:  3.70752e+00 | min: -2.35312e+01 | max:  1.80625e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -7.82742e+00 | std:  3.81736e+01 | min: -1.05750e+02 | max:  1.37000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  3.43570e-01 | std:  1.13777e+01 | min: -4.32590e+01 | max:  3.18021e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  1.54365e-01 | std:  9.20473e+00 | min: -2.02646e+01 | max:  1.87230e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -6.76354e+00 | std:  4.06323e+01 | min: -7.70625e+01 | max:  7.85000e+01
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  2.38305e+01 | std:  2.32335e+01 | min: -4.08203e+00 | max:  4.75000e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -4.29709e-02 | std:  3.88242e+00 | min: -2.22812e+01 | max:  2.61875e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  6.82705e-01 | std:  1.44166e+01 | min: -4.17188e+01 | max:  4.34375e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -7.24953e-02 | std:  5.20295e+00 | min: -2.72031e+01 | max:  3.02656e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  6.15493e-01 | std:  6.16482e+00 | min: -2.48750e+01 | max:  2.27969e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  1.81077e-02 | std:  4.16514e-01 | min: -2.59180e+00 | max:  3.26367e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -2.54676e-01 | std:  1.41879e+00 | min: -6.98047e+00 | max:  4.66406e+00
xlstm.layers.0.mlstm.Wf.weight           | mean:  5.46148e-01 | std:  7.01944e+00 | min: -3.35000e+01 | max:  3.42188e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -6.99426e+00 | std:  2.80785e+01 | min: -8.71875e+01 | max:  1.08938e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  6.45434e-01 | std:  1.07899e+01 | min: -5.03438e+01 | max:  5.40625e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.45346e+00 | std:  1.42154e+01 | min: -3.98438e+01 | max:  5.80312e+01
classifier.weight                        | mean: -4.83032e-03 | std:  4.33842e+02 | min: -1.90700e+03 | max:  1.91800e+03
classifier.bias                          | mean:  1.15000e-01 | std:  3.66961e+03 | min: -7.38400e+03 | max:  6.88000e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.58694e+01 | std:  4.21462e+01 | min: -1.42214e+02 | max:  7.19967e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -6.14010e+01 | std:  6.00984e+01 | min: -2.52992e+02 | max:  2.06571e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.66613e+02 | std:  2.17027e+02 | min: -7.06000e+02 | max:  1.65375e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -9.10900e+02 | std:  3.94302e+02 | min: -1.44000e+03 | max: -5.97500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -2.05661e+00 | std:  1.78278e+02 | min: -7.57500e+02 | max:  9.23000e+02
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.61923e+01 | std:  1.99334e+02 | min: -5.09250e+02 | max:  6.53000e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -9.69877e+00 | std:  2.24152e+01 | min: -1.27938e+02 | max:  9.09375e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.33663e+01 | std:  5.14855e+01 | min: -2.04125e+02 | max:  7.60625e+01
xlstm.layers.0.slstm.Wf.block.weight     | mean: -6.17082e+00 | std:  1.28802e+01 | min: -9.08750e+01 | max:  5.48125e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -2.72323e+01 | std:  3.15355e+01 | min: -1.37750e+02 | max:  4.52812e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.41240e+00 | std:  3.44122e+01 | min: -2.52000e+02 | max:  1.51875e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -3.47895e+01 | std:  4.27645e+01 | min: -1.83750e+02 | max:  6.33438e+01
xlstm.layers.0.slstm.Rz.block.weight     | mean: -2.16548e-01 | std:  2.72067e+01 | min: -1.37000e+02 | max:  1.71000e+02
