Classification Report:
              precision    recall  f1-score     support
pop            0.680000  0.510000  0.582857  100.000000
classical      0.470588  0.323232  0.383234   99.000000
jazz           0.698113  0.747475  0.721951   99.000000
hiphop         0.639344  0.780000  0.702703  100.000000
reggae         0.679104  0.910000  0.777778  100.000000
disco          0.592593  0.494845  0.539326   97.000000
metal          0.790476  0.830000  0.809756  100.000000
country        0.643678  0.571429  0.605405   98.000000
blues          0.857143  0.979592  0.914286   98.000000
rock           0.530000  0.535354  0.532663   99.000000
accuracy       0.668687  0.668687  0.668687    0.668687
macro avg      0.658104  0.668193  0.656996  990.000000
weighted avg   0.658208  0.668687  0.657273  990.000000
