
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.71603e+01 | std:  6.05086e+01 | min: -1.57355e+02 | max:  1.37927e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.27676e+01 | std:  4.65824e+01 | min: -1.16987e+02 | max:  1.02504e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.73256e+02 | std:  4.14878e+02 | min: -9.01500e+02 | max:  6.01500e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -5.90650e+02 | std:  3.06683e+02 | min: -9.91500e+02 | max: -3.25250e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  3.68490e+00 | std:  4.04647e+02 | min: -2.34000e+03 | max:  2.46800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  8.77991e+00 | std:  3.58594e+02 | min: -9.66500e+02 | max:  8.94500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -5.40788e+00 | std:  4.74238e+01 | min: -3.52750e+02 | max:  3.01000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -2.03494e+01 | std:  1.15809e+02 | min: -4.64250e+02 | max:  2.86750e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -2.86995e+00 | std:  2.49275e+01 | min: -1.70750e+02 | max:  1.34000e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.07515e+01 | std:  5.99545e+01 | min: -2.20625e+02 | max:  1.40500e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  2.70207e-01 | std:  7.07632e+01 | min: -3.42500e+02 | max:  3.93500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -1.48610e+01 | std:  8.90865e+01 | min: -3.22250e+02 | max:  2.15125e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -6.15694e-02 | std:  5.19219e+01 | min: -2.60250e+02 | max:  2.84500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  8.77991e+00 | std:  3.58594e+02 | min: -9.66500e+02 | max:  8.94500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -1.91042e-02 | std:  1.14541e+01 | min: -6.88125e+01 | max:  8.65625e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -2.03494e+01 | std:  1.15809e+02 | min: -4.64250e+02 | max:  2.86750e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.22315e-02 | std:  6.06572e+00 | min: -3.53438e+01 | max:  3.85000e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.07515e+01 | std:  5.99545e+01 | min: -2.20625e+02 | max:  1.40500e+02
